job_id,customer_id,device_id,issue_type,job_status,received_date,promised_date,completed_date,technician_id,technician_name,repair_notes,estimated_cost,actual_cost
JOB00030,CUST0055,DEV036,Battery Issue,Pending,2024-02-13,2024-02-18,,T005,Kavitha Nair,,7662.33,
JOB01498,CUST0145,DEV037,Motherboard Failure,Completed,2024-02-06,2024-02-11,2024-02-13,T008,Arjun Iyer,,7751.72,4258.76
JOB01443,CUST0046,DEV027,Motherboard Failure,Completed,2024-03-01,2024-03-06,2024-03-04,T002,Suresh Rao,Customer informed,6912.68,1558.22
JOB00945,CUST0161,DEV018,Water Damage,Completed,2024-03-03,2024-03-08,2024-03-06,T001,Rajesh Kumar,Under warranty,605.69,2263.41
JOB00957,CUST0129,DEV019,RAM Issue,Completed,2024-01-09,2024-01-14,2024-01-10,T003,Priya Singh,Customer informed,5034.79,7386.68
JOB01455,CUST0192,DEV018,Keyboard Fault,Pending,2024-02-19,2024-02-24,,T008,Arjun Iyer,Customer follow-up pending,4095.16,
JOB00104,CUST0298,DEV035,Motherboard Failure,Completed,2024-01-18,2024-01-23,2024-01-24,T004,Amit Patel,,7294.59,3956.07
JOB00294,CUST0022,DEV038,Charging Port Fault,Completed,2024-01-22,2024-01-27,2024-01-26,T005,Kavitha Nair,Under warranty,899.25,6435.76
JOB01400,CUST0036,DEV030,Hinge Broken,Cancelled,2024-01-28,2024-02-02,2024-01-31,T005,Kavitha Nair,,2197.06,
JOB01090,CUST0201,DEV017,Overheating,Completed,2024-03-04,2024-03-09,2024-03-10,T003,Priya Singh,Returned to customer,3706.98,7369.66
JOB01181,CUST0295,DEV019,Battery Issue,Completed,2024-01-29,2024-02-03,2024-01-31,T005,Kavitha Nair,Customer informed,4775.15,6845.21
JOB00070,CUST0108,DEV035,Keyboard Fault,Completed,2024-02-29,2024-03-05,2024-03-07,T006,,,1450.68,4850.57
JOB01244,CUST0108,DEV026,Camera Not Working,Completed,2024-02-11,2024-02-16,2024-02-14,T002,Suresh Rao,Spare part ordered,2748.79,3050.73
JOB00084,CUST0293,DEV037,Charging Port Fault,Completed,2024-01-05,2024-01-10,2024-01-10,T002,Suresh Rao,Under warranty,1279.58,3398.68
JOB00150,CUST0050,DEV029,Charging Port Fault,Completed,2024-02-21,2024-02-26,2024-02-25,T005,Kavitha Nair,Spare part ordered,5546.97,5428.19
JOB00602,CUST0064,DEV029,Charging Port Fault,Completed,2024-03-16,2024-03-21,2024-03-20,T006,Deepak Sharma,Customer informed,7310.82,2666.64
JOB00135,CUST0146,DEV006,Software Crash,Completed,2024-02-17,2024-02-22,2024-02-25,T004,Amit Patel,Customer follow-up pending,1565.1,3461.81
JOB01461,CUST0022,DEV018,Charging Port Fault,Pending,2024-01-16,2024-01-21,,T007,Meena Reddy,Customer follow-up pending,610.59,
JOB01137,CUST0119,DEV027,Power Not Turning On,Completed,2024-01-27,2024-02-01,2024-02-01,T001,Rajesh Kumar,,7968.46,792.55
JOB00747,CUST0079,DEV012,Power Not Turning On,Completed,2024-01-11,2024-01-16,2024-01-15,T003,Priya Singh,Customer informed,2651.05,7742.33
JOB00895,CUST0156,DEV022,Speaker Problem,In Progress,2024-01-19,2024-01-24,,T007,Meena Reddy,Returned to customer,6929.33,
JOB00040,CUST0188,DEV012,Software Crash,Completed,2024-01-27,2024-02-01,2024-01-30,T007,Meena Reddy,Returned to customer,3047.61,3695.24
JOB00211,CUST0187,DEV004,Battery Issue,Completed,2024-02-16,2024-02-21,2024-02-21,T007,Meena Reddy,,5698.01,5112.71
JOB01300,CUST0077,DEV006,Keyboard Fault,Completed,2024-03-08,2024-03-13,2024-03-14,T002,Suresh Rao,Customer informed,450.26,8821.43
JOB00321,CUST0174,DEV039,Power Not Turning On,Pending,2024-01-17,2024-01-22,,T008,Arjun Iyer,,7686.47,
JOB00697,CUST0056,DEV003,Battery Issue,Pending,2024-02-27,2024-03-03,,T006,Deepak Sharma,,5977.44,
JOB01141,CUST0004,DEV032,Power Not Turning On,Pending,2024-02-22,2024-02-27,,T004,Amit Patel,Spare part ordered,891.94,
JOB01157,CUST0296,DEV035,Software Crash,Completed,2024-03-03,2024-03-08,2024-03-06,T005,Kavitha Nair,Customer follow-up pending,4111.04,7126.54
JOB00301,CUST0220,DEV007,Hinge Broken,Completed,2024-01-04,2024-01-09,2024-01-10,T006,Deepak Sharma,Returned to customer,4804.64,8568.3
JOB00991,CUST0001,DEV020,Software Crash,Cancelled,2024-03-13,2024-03-18,2024-03-17,T007,Meena Reddy,Spare part ordered,617.6,
JOB00763,CUST0269,DEV013,Wi-Fi Not Connecting,Completed,2024-01-17,2024-01-22,2024-01-21,T003,Priya Singh,Customer informed,7768.54,2887.07
JOB01358,CUST0017,DEV025,Wi-Fi Not Connecting,Completed,2024-02-11,2024-02-16,2024-02-20,T004,Amit Patel,,6672.0,2510.87
JOB00791,CUST0281,DEV026,Water Damage,In Progress,2024-02-15,2024-02-20,,T007,,,7223.58,
JOB01309,CUST0249,DEV043,Charging Port Fault,Completed,2024-01-28,2024-02-02,2024-01-29,T001,Rajesh Kumar,,6785.16,1085.37
JOB00799,CUST0267,DEV031,Power Not Turning On,In Progress,2024-01-10,2024-01-15,,T007,Meena Reddy,Customer follow-up pending,7090.18,
JOB01285,CUST0229,DEV039,Keyboard Fault,Completed,2024-03-15,2024-03-20,2024-03-19,T003,Priya Singh,Customer informed,6255.63,2175.44
JOB01355,CUST0044,DEV029,Software Crash,Completed,2024-01-27,2024-02-01,2024-01-30,T007,Meena Reddy,Under warranty,4016.42,421.74
JOB00190,CUST0206,DEV021,Battery Issue,In Progress,2024-02-11,2024-02-16,,T003,Priya Singh,Out of warranty,6160.98,
JOB00629,CUST0291,DEV023,Camera Not Working,Completed,2024-01-02,2024-01-07,2024-01-07,T002,Suresh Rao,Under warranty,3837.28,1479.52
JOB01238,CUST0273,DEV022,Hard Disk Failure,Pending,2024-01-23,2024-01-28,,T008,Arjun Iyer,Returned to customer,3234.8,
JOB01206,CUST0165,DEV004,Software Crash,In Progress,2024-01-23,2024-01-28,,T007,,,1728.02,
JOB00834,CUST0145,DEV037,Keyboard Fault,Completed,2024-01-10,2024-01-15,2024-01-13,T002,Suresh Rao,,6288.59,4856.1
JOB01246,CUST0009,DEV040,Camera Not Working,Completed,2024-01-14,2024-01-19,2024-01-16,T003,Priya Singh,Spare part ordered,474.5,3281.66
JOB00124,CUST0019,DEV006,RAM Issue,Completed,2024-02-11,2024-02-16,2024-02-15,T005,Kavitha Nair,,6598.06,6862.21
JOB00091,CUST0067,DEV009,Software Crash,Completed,2024-03-03,2024-03-08,2024-03-07,T004,Amit Patel,Out of warranty,4577.11,8974.15
JOB00215,CUST0034,DEV013,Hinge Broken,Completed,2024-01-12,2024-01-17,2024-01-17,T008,Arjun Iyer,Under warranty,2449.31,8616.15
JOB00809,CUST0247,DEV012,Software Crash,Completed,2024-01-02,2024-01-07,2024-01-09,T007,Meena Reddy,Spare part ordered,2870.46,2887.38
JOB00896,CUST0028,DEV023,Wi-Fi Not Connecting,Completed,2024-01-10,2024-01-15,2024-01-11,T002,Suresh Rao,,3426.95,1576.68
JOB00956,CUST0152,DEV039,Overheating,Completed,2024-01-28,2024-02-02,2024-01-31,T005,Kavitha Nair,Returned to customer,5936.46,4845.37
JOB00235,CUST0244,DEV008,Keyboard Fault,Completed,2024-02-03,2024-02-08,2024-02-07,T001,Rajesh Kumar,Customer informed,1339.87,4230.24
JOB00320,CUST0243,DEV008,Software Crash,Completed,2024-02-27,2024-03-03,2024-03-05,T006,Deepak Sharma,Out of warranty,3860.08,4027.28
JOB00031,CUST0295,DEV017,Hard Disk Failure,Completed,2024-02-18,2024-02-23,2024-02-25,T008,Arjun Iyer,Out of warranty,6108.29,8656.96
JOB00574,CUST0184,DEV001,Keyboard Fault,Completed,2024-01-03,2024-01-08,2024-01-08,T006,Deepak Sharma,Customer follow-up pending,4116.26,7829.66
JOB01163,CUST0093,DEV004,Hinge Broken,Completed,2024-02-20,2024-02-25,2024-02-25,T002,Suresh Rao,,1169.26,5068.77
JOB01013,CUST0006,DEV009,Wi-Fi Not Connecting,Completed,2024-03-05,2024-03-10,2024-03-08,T001,Rajesh Kumar,,1613.62,2581.46
JOB00490,CUST0149,DEV025,Charging Port Fault,Completed,2024-03-09,2024-03-14,2024-03-11,T006,Deepak Sharma,,3919.52,1279.01
JOB00819,CUST0241,DEV032,Charging Port Fault,In Progress,2024-01-09,2024-01-14,,T003,Priya Singh,Customer follow-up pending,937.63,
JOB01345,CUST0005,DEV028,Charging Port Fault,Completed,2024-01-16,2024-01-21,2024-01-19,T003,Priya Singh,,3539.82,7949.98
JOB01477,CUST0163,DEV006,Water Damage,Completed,2024-01-05,2024-01-10,2024-01-08,T006,Deepak Sharma,Spare part ordered,7277.7,5028.36
JOB01116,CUST0296,DEV035,Camera Not Working,Pending,2024-01-13,2024-01-18,,T005,Kavitha Nair,Customer informed,2632.76,
JOB01490,CUST0193,DEV038,Speaker Problem,Completed,2024-02-27,2024-03-03,2024-03-03,T006,Deepak Sharma,,6466.74,7329.15
JOB00936,CUST0126,DEV009,RAM Issue,Completed,2024-02-10,2024-02-15,2024-02-17,T008,Arjun Iyer,,5935.48,7901.86
JOB01290,CUST0114,DEV019,Screen Damage,Completed,2024-01-08,2024-01-13,2024-01-11,T004,Amit Patel,,7661.39,5145.19
JOB00295,CUST0134,DEV008,Keyboard Fault,Completed,2024-01-17,2024-01-22,2024-01-19,T001,Rajesh Kumar,Customer follow-up pending,6033.02,8347.2
JOB00344,CUST0061,DEV039,Power Not Turning On,Completed,2024-01-15,2024-01-20,2024-01-19,T007,Meena Reddy,Under warranty,1118.39,2848.58
JOB00331,CUST0265,DEV024,Screen Damage,In Progress,2024-01-19,2024-01-24,,T008,,,7560.41,
JOB00051,CUST0043,DEV007,Camera Not Working,Completed,2024-01-11,2024-01-16,2024-01-14,T003,Priya Singh,,2613.09,2339.46
JOB00393,CUST0251,DEV014,Hard Disk Failure,In Progress,2024-03-01,2024-03-06,,T002,Suresh Rao,Spare part ordered,1505.98,
JOB00196,CUST0049,DEV040,Keyboard Fault,In Progress,2024-02-29,2024-03-05,,T004,Amit Patel,Out of warranty,2356.13,
JOB01211,CUST0135,DEV005,Speaker Problem,Completed,2024-01-26,2024-01-31,2024-02-01,T004,Amit Patel,Spare part ordered,7510.49,8594.61
JOB00129,CUST0213,DEV027,Screen Damage,Completed,2024-02-14,2024-02-19,2024-02-20,T006,Deepak Sharma,Out of warranty,288.12,1930.51
JOB00164,CUST0290,DEV038,Charging Port Fault,In Progress,2024-02-07,2024-02-12,,T001,Rajesh Kumar,Customer informed,2437.16,
JOB01482,CUST0009,DEV041,Battery Issue,Cancelled,2024-02-02,2024-02-07,2024-02-04,T005,Kavitha Nair,Returned to customer,4569.66,
JOB00106,CUST0164,DEV027,Overheating,In Progress,2024-02-26,2024-03-02,,T005,Kavitha Nair,Customer follow-up pending,1385.27,
JOB00836,CUST0078,DEV042,Keyboard Fault,Completed,2024-01-24,2024-01-29,2024-01-29,T002,Suresh Rao,Returned to customer,3741.57,7062.85
JOB00950,CUST0261,DEV008,Screen Damage,Completed,2024-01-14,2024-01-19,2024-01-18,T003,Priya Singh,Out of warranty,6275.24,7793.66
JOB00012,CUST0029,DEV011,Camera Not Working,Cancelled,2024-03-07,2024-03-12,2024-03-12,T003,Priya Singh,Customer informed,7052.37,
JOB01057,CUST0170,DEV037,RAM Issue,Completed,2024-02-29,2024-03-05,2024-03-03,T005,Kavitha Nair,Out of warranty,1464.28,5513.2
JOB00160,CUST0058,DEV038,Software Crash,In Progress,2024-01-19,2024-01-24,,T002,Suresh Rao,,7871.92,
JOB01060,CUST0256,DEV009,RAM Issue,Completed,2024-01-27,2024-02-01,2024-01-29,T001,Rajesh Kumar,Returned to customer,6767.18,1172.5
JOB00613,CUST0250,DEV025,Software Crash,Completed,2024-02-21,2024-02-26,2024-02-27,T004,Amit Patel,Customer follow-up pending,7621.66,5258.59
JOB01030,CUST0241,DEV033,Software Crash,Completed,2024-03-16,2024-03-21,2024-03-22,T007,Meena Reddy,Under warranty,3860.76,955.24
JOB01422,CUST0300,DEV035,Camera Not Working,Completed,2024-03-15,2024-03-20,2024-03-20,T003,Priya Singh,Under warranty,5359.63,5218.24
JOB00392,CUST0276,DEV021,Speaker Problem,In Progress,2024-03-21,2024-03-26,,T001,Rajesh Kumar,Under warranty,6841.72,
JOB00508,CUST0276,DEV033,Charging Port Fault,In Progress,2024-02-05,2024-02-10,,T004,,Customer follow-up pending,7955.21,
JOB00506,CUST0205,DEV033,Hard Disk Failure,Completed,2024-01-17,2024-01-22,2024-01-21,T007,Meena Reddy,Under warranty,2884.14,270.79
JOB00371,CUST0209,DEV018,Battery Issue,Completed,2024-03-04,2024-03-09,2024-03-12,T008,Arjun Iyer,Out of warranty,566.32,8277.76
JOB00930,CUST0107,DEV026,Overheating,In Progress,2024-02-28,2024-03-04,,T007,Meena Reddy,,7628.52,
JOB00847,CUST0151,DEV024,Wi-Fi Not Connecting,Completed,2024-01-21,2024-01-26,2024-01-26,T007,,Under warranty,7503.07,8692.91
JOB00201,CUST0300,DEV012,Overheating,Completed,2024-01-18,2024-01-23,2024-01-24,T006,Deepak Sharma,Customer follow-up pending,1777.24,1275.82
JOB01067,CUST0178,DEV040,Keyboard Fault,Completed,2024-02-17,2024-02-22,2024-02-20,T005,Kavitha Nair,,4767.85,7969.27
JOB01038,CUST0062,DEV009,Charging Port Fault,In Progress,2024-02-16,2024-02-21,,T002,Suresh Rao,Customer informed,520.07,
